,,Answer,class_0,class_100,Prompt
0.1,110,1,1,1,Is the mixture between (NCC1=CC(CN)=CC=C1) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
0.1,113,1,0,1,Is the mixture between (N[C@H]1CC[C@H](N)CC1) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
0.1,114,0,1,1,Is the mixture between (NCCN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.1,116,0,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.1,118,0,0,1,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.1,119,0,0,0,Is the mixture between (NC1=NON=C1N) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.1,124,1,0,1,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.1,139,0,0,1,Is the mixture between (N[C@@H]1[C@H](CCCC1)N) and (O=Cc1cc(C=O)c(O)c(C=O)c1) turbid or dissolved?
0.1,140,1,1,1,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1cc(C=O)c(O)c(C=O)c1) turbid or dissolved?
0.1,145,1,1,1,Is the mixture between (NCCOCCN) and (O=Cc1cc(C=O)c(O)c(C=O)c1) turbid or dissolved?
0.1,153,0,0,0,Is the mixture between (N[C@H]([C@H](C1=CC=CC=C1)N)C2=CC=CC=C2) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.1,155,0,0,0,Is the mixture between (NC1=NON=C1N) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.1,158,1,0,0,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.1,163,1,1,1,Is the mixture between (NCCOCCN) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.1,167,1,0,0,Is the mixture between (N[C@H]1CC[C@H](N)CC1) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.1,172,0,0,0,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
0.1,176,1,0,0,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
0.1,180,1,0,1,Is the mixture between (CN(CCCN)CCCN) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
0.1,183,1,0,0,Is the mixture between (NCC(CN)O) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
0.1,193,0,0,0,Is the mixture between (N[C@@H]1[C@H](CCCC1)N) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.1,197,1,0,0,Is the mixture between (NCC1CCC(CN)CC1) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.1,199,1,0,0,Is the mixture between (NCCOCCN) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.1,203,1,0,0,Is the mixture between (N[C@H]1CC[C@H](N)CC1) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.1,210,0,0,0,Is the mixture between (N[C@H]1CCC[C@H](C1)N) and (O=Cc1cccc(-c2cc(-c3cccc(C=O)c3)cc(-c3cccc(C=O)c3)c2)c1) turbid or dissolved?
0.1,224,1,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
0.1,225,1,0,0,Is the mixture between (N[C@H]([C@H](C1=CC=CC=C1)N)C2=CC=CC=C2) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
0.1,231,1,1,1,Is the mixture between (NCCCCCCN) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
0.1,237,1,0,0,Is the mixture between (NCC(CN)O) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
0.1,244,0,0,0,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1cc(-c2cc(-c3csc(C=O)c3)cc(-c3csc(C=O)c3)c2)cs1) turbid or dissolved?
0.1,255,0,0,0,Is the mixture between (NCC(CN)O) and (O=Cc1cc(-c2cc(-c3csc(C=O)c3)cc(-c3csc(C=O)c3)c2)cs1) turbid or dissolved?
0.1,258,0,0,0,Is the mixture between (NCCN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
0.1,262,0,0,1,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
0.1,268,1,0,0,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
0.1,271,1,1,1,Is the mixture between (NCCOCCN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
0.1,277,1,1,1,Is the mixture between (CC(C)(CN)CN) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.1,281,1,0,1,Is the mixture between (NC1=NON=C1N) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.1,284,1,0,0,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.1,287,1,1,1,Is the mixture between (NCC1CCC(CN)CC1) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.1,296,1,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1ccc(C#Cc2cc(C=O)cc(C=O)c2)cc1) turbid or dissolved?
0.1,314,1,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
0.1,322,0,0,1,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
0.1,325,0,1,1,Is the mixture between (NCCOCCN) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
0.1,326,0,0,1,Is the mixture between (NCC1=CC(CN)=CC=C1) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
0.1,336,0,0,0,Is the mixture between (N[C@H]1CCC[C@H](C1)N) and (C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)/C=C/C3=CC=C(C=C3)C=O)/C=C/C4=CC=C(C=C4)C=O)C=O) turbid or dissolved?
0.1,337,1,0,0,Is the mixture between (N[C@@H]1[C@H](CCCC1)N) and (C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)/C=C/C3=CC=C(C=C3)C=O)/C=C/C4=CC=C(C=C4)C=O)C=O) turbid or dissolved?
0.4,3,0,0,1,Is the mixture between (O=Cc1ccc(C=O)cc1) and (Nc1nc(N)nc(N)n1) turbid or dissolved?
0.4,5,0,0,0,Is the mixture between (O=Cc1ccc(-c2ccc(C=O)cc2)cc1) and (Nc1nc(N)nc(N)n1) turbid or dissolved?
0.4,9,0,0,1,Is the mixture between (O=Cc1ccccc1C=O) and (Nc1nc(N)nc(N)n1) turbid or dissolved?
0.4,22,1,0,1,Is the mixture between (O=Cc1c2ccccc2c(C=O)c2ccccc12) and (Cc1c(CN)c(C)c(CN)c(C)c1CN) turbid or dissolved?
0.4,25,0,1,1,Is the mixture between (O=Cc1ccccc1C=O) and (Cc1c(CN)c(C)c(CN)c(C)c1CN) turbid or dissolved?
0.4,30,1,1,1,Is the mixture between (O=Cc1ccc(OCCCOc2ccc(C=O)cc2)cc1) and (Cc1c(CN)c(C)c(CN)c(C)c1CN) turbid or dissolved?
0.4,33,1,1,1,Is the mixture between (CC(C)(C)c1cc(C=O)c(O)c(C=O)c1) and (NCCN(CCN)CCN) turbid or dissolved?
0.4,39,0,0,1,Is the mixture between (O=Cc1ccc2ccc3ccc(C=O)nc3c2n1) and (NCCN(CCN)CCN) turbid or dissolved?
0.4,42,1,0,1,Is the mixture between (Cn1nc(-c2ccc(C=O)cc2)cc1C=O) and (NCCN(CCN)CCN) turbid or dissolved?
0.4,45,0,1,1,Is the mixture between (Cn1nc2c(C=O)cccc2c1C=O) and (NCCN(CCN)CCN) turbid or dissolved?
0.4,46,1,1,1,Is the mixture between (O=Cc1ccc(OCCCOc2ccc(C=O)cc2)cc1) and (NCCN(CCN)CCN) turbid or dissolved?
0.4,55,0,0,1,Is the mixture between (O=Cc1ccc2ccc3ccc(C=O)nc3c2n1) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
0.4,56,0,1,1,Is the mixture between (O=Cc1ccsc1C=O) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
0.4,57,0,1,1,Is the mixture between (O=Cc1ccccc1C=O) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
0.4,63,0,1,1,Is the mixture between (CCCCC(CC)COc1cc(C=O)c(OC)cc1C=O) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
0.4,72,1,1,1,Is the mixture between (O=Cc1ccsc1C=O) and (NCCCN(CCCN)CCCN) turbid or dissolved?
0.4,73,0,1,1,Is the mixture between (O=Cc1ccccc1C=O) and (NCCCN(CCCN)CCCN) turbid or dissolved?
0.4,75,0,1,1,Is the mixture between (CC(C=O)=Cc1ccc(C=C(C)C=O)cc1) and (NCCCN(CCCN)CCCN) turbid or dissolved?
0.4,76,0,1,1,Is the mixture between (COc1cc(C=O)ccc1OCCOc1ccc(C=O)cc1OC) and (NCCCN(CCCN)CCCN) turbid or dissolved?
0.4,77,0,0,0,Is the mixture between (Cn1nc2c(C=O)cccc2c1C=O) and (NCCCN(CCCN)CCCN) turbid or dissolved?
0.4,82,0,1,1,Is the mixture between (O=Cc1cc2sc(C=O)cc2s1) and (NC1CC(N)CC(N)C1) turbid or dissolved?
0.4,84,0,1,1,Is the mixture between (O=Cc1c(F)c(F)c(C=O)c(F)c1F) and (NC1CC(N)CC(N)C1) turbid or dissolved?
0.4,93,0,0,0,Is the mixture between (Cn1nc2c(C=O)cccc2c1C=O) and (NC1CC(N)CC(N)C1) turbid or dissolved?
0.4,108,1,1,1,Is the mixture between (CN(CCCN)CCCN) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
0.4,109,1,1,1,Is the mixture between (NCCOCCN) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
0.4,110,1,0,1,Is the mixture between (NCC1=CC(CN)=CC=C1) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
0.4,113,1,0,1,Is the mixture between (N[C@H]1CC[C@H](N)CC1) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
0.4,114,0,1,1,Is the mixture between (NCCN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.4,116,0,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.4,118,0,0,1,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.4,119,0,0,0,Is the mixture between (NC1=NON=C1N) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.4,124,1,0,0,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.4,139,0,0,1,Is the mixture between (N[C@@H]1[C@H](CCCC1)N) and (O=Cc1cc(C=O)c(O)c(C=O)c1) turbid or dissolved?
0.4,140,1,0,1,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1cc(C=O)c(O)c(C=O)c1) turbid or dissolved?
0.4,145,1,1,1,Is the mixture between (NCCOCCN) and (O=Cc1cc(C=O)c(O)c(C=O)c1) turbid or dissolved?
0.4,153,0,0,0,Is the mixture between (N[C@H]([C@H](C1=CC=CC=C1)N)C2=CC=CC=C2) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.4,155,0,0,0,Is the mixture between (NC1=NON=C1N) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.4,158,1,0,1,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.4,163,1,1,1,Is the mixture between (NCCOCCN) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.4,167,1,0,0,Is the mixture between (N[C@H]1CC[C@H](N)CC1) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?
0.4,172,0,0,1,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
0.4,176,1,0,1,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
0.4,180,1,0,1,Is the mixture between (CN(CCCN)CCCN) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
0.4,183,1,0,0,Is the mixture between (NCC(CN)O) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?
0.4,193,0,0,0,Is the mixture between (N[C@@H]1[C@H](CCCC1)N) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.4,197,1,0,0,Is the mixture between (NCC1CCC(CN)CC1) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.4,199,1,0,0,Is the mixture between (NCCOCCN) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.4,203,1,0,0,Is the mixture between (N[C@H]1CC[C@H](N)CC1) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.4,210,0,0,0,Is the mixture between (N[C@H]1CCC[C@H](C1)N) and (O=Cc1cccc(-c2cc(-c3cccc(C=O)c3)cc(-c3cccc(C=O)c3)c2)c1) turbid or dissolved?
0.4,224,1,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
0.4,225,1,0,0,Is the mixture between (N[C@H]([C@H](C1=CC=CC=C1)N)C2=CC=CC=C2) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
0.4,231,1,1,1,Is the mixture between (NCCCCCCN) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
0.4,237,1,0,0,Is the mixture between (NCC(CN)O) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?
0.4,244,0,0,0,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1cc(-c2cc(-c3csc(C=O)c3)cc(-c3csc(C=O)c3)c2)cs1) turbid or dissolved?
0.4,255,0,0,0,Is the mixture between (NCC(CN)O) and (O=Cc1cc(-c2cc(-c3csc(C=O)c3)cc(-c3csc(C=O)c3)c2)cs1) turbid or dissolved?
0.4,258,0,0,1,Is the mixture between (NCCN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
0.4,262,0,0,1,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
0.4,268,1,0,1,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
0.4,271,1,1,1,Is the mixture between (NCCOCCN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1) turbid or dissolved?
0.4,277,1,1,1,Is the mixture between (CC(C)(CN)CN) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.4,281,1,0,0,Is the mixture between (NC1=NON=C1N) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.4,284,1,0,1,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.4,287,1,0,1,Is the mixture between (NCC1CCC(CN)CC1) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?
0.4,296,1,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1ccc(C#Cc2cc(C=O)cc(C=O)c2)cc1) turbid or dissolved?
0.4,314,1,0,0,Is the mixture between (N[C@H]1CN(Cc2ccccc2)C[C@@H]1N) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
0.4,322,0,0,1,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
0.4,325,0,1,1,Is the mixture between (NCCOCCN) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
0.4,326,0,0,1,Is the mixture between (NCC1=CC(CN)=CC=C1) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?
0.4,336,0,0,0,Is the mixture between (N[C@H]1CCC[C@H](C1)N) and (C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)/C=C/C3=CC=C(C=C3)C=O)/C=C/C4=CC=C(C=C4)C=O)C=O) turbid or dissolved?
0.4,337,1,0,0,Is the mixture between (N[C@@H]1[C@H](CCCC1)N) and (C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)/C=C/C3=CC=C(C=C3)C=O)/C=C/C4=CC=C(C=C4)C=O)C=O) turbid or dissolved?
0.7,3,0,1,1,Is the mixture between (O=Cc1ccc(C=O)cc1) and (Nc1nc(N)nc(N)n1) turbid or dissolved?
0.7,5,0,0,0,Is the mixture between (O=Cc1ccc(-c2ccc(C=O)cc2)cc1) and (Nc1nc(N)nc(N)n1) turbid or dissolved?
0.7,9,0,0,1,Is the mixture between (O=Cc1ccccc1C=O) and (Nc1nc(N)nc(N)n1) turbid or dissolved?
0.7,22,1,0,1,Is the mixture between (O=Cc1c2ccccc2c(C=O)c2ccccc12) and (Cc1c(CN)c(C)c(CN)c(C)c1CN) turbid or dissolved?
0.7,25,0,0,1,Is the mixture between (O=Cc1ccccc1C=O) and (Cc1c(CN)c(C)c(CN)c(C)c1CN) turbid or dissolved?
0.7,30,1,1,1,Is the mixture between (O=Cc1ccc(OCCCOc2ccc(C=O)cc2)cc1) and (Cc1c(CN)c(C)c(CN)c(C)c1CN) turbid or dissolved?
0.7,33,1,1,1,Is the mixture between (CC(C)(C)c1cc(C=O)c(O)c(C=O)c1) and (NCCN(CCN)CCN) turbid or dissolved?
0.7,39,0,0,1,Is the mixture between (O=Cc1ccc2ccc3ccc(C=O)nc3c2n1) and (NCCN(CCN)CCN) turbid or dissolved?
0.7,42,1,0,1,Is the mixture between (Cn1nc(-c2ccc(C=O)cc2)cc1C=O) and (NCCN(CCN)CCN) turbid or dissolved?
0.7,45,0,0,0,Is the mixture between (Cn1nc2c(C=O)cccc2c1C=O) and (NCCN(CCN)CCN) turbid or dissolved?
0.7,46,1,1,1,Is the mixture between (O=Cc1ccc(OCCCOc2ccc(C=O)cc2)cc1) and (NCCN(CCN)CCN) turbid or dissolved?
0.7,55,0,1,1,Is the mixture between (O=Cc1ccc2ccc3ccc(C=O)nc3c2n1) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
0.7,56,0,1,1,Is the mixture between (O=Cc1ccsc1C=O) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
0.7,57,0,1,1,Is the mixture between (O=Cc1ccccc1C=O) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
0.7,63,0,1,1,Is the mixture between (CCCCC(CC)COc1cc(C=O)c(OC)cc1C=O) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
0.7,72,1,1,1,Is the mixture between (O=Cc1ccsc1C=O) and (NCCCN(CCCN)CCCN) turbid or dissolved?
0.7,73,0,1,1,Is the mixture between (O=Cc1ccccc1C=O) and (NCCCN(CCCN)CCCN) turbid or dissolved?
