Key,Prompt,Final Prediction,All Predictions,Focus 100% Predictions 0.1,Focus 100% Predictions 0.4,Focus 100% Predictions 0.7,Focus 100% Predictions 1.0
10,"Is the mixture between ditopic CC(C=O)=Cc1ccc(C=C(C)C=O)cc1 and tritopic NCCCN(CCCN)CCCN turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 214.099379685, 188.20009678. The molecular complexities: 273.0, 78.6. The number of aromatic groups: 1, 0. The number of heavy atoms: 16, 13.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 4, 9.0. The number of hydrogen bond acceptors: 2, 4.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 2.4, -1.5. The TPSA (topological polar surface area): 34.1, 81.3.",0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0"
11,"Is the mixture between ditopic NC1=NON=C1N and tritopic O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1 turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 100.03851076, 329.10519334. The molecular complexities: 58.7, 376.0. The number of aromatic groups: 1, 3. The number of heavy atoms: 7, 25.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 0, 6.0. The number of hydrogen bond acceptors: 5, 4.0. The number of hydrogen bond donors: 2, 0.0. The logP (octanol/water partition coefficient): -0.5, 3.5. The TPSA (topological polar surface area): 91.0, 54.4.",0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0"
12,"Is the mixture between ditopic NCC1=CC(CN)=CC=C1 and tritopic O=Cc1c(O)c(C=O)c(O)c(C=O)c1O turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 136.100048391, 210.01643791. The molecular complexities: 83.3, 205.0. The number of aromatic groups: 1, 1. The number of heavy atoms: 10, 15.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 2, 3.0. The number of hydrogen bond acceptors: 2, 6.0. The number of hydrogen bond donors: 2, 3.0. The logP (octanol/water partition coefficient): -0.3, 0.9. The TPSA (topological polar surface area): 52.0, 112.0.",0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0"
13,"Is the mixture between ditopic NCC1=CC(CN)=CC=C1 and tritopic O=Cc1cc(C=O)cc(C=O)c1 turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 136.100048391, 162.031694049. The molecular complexities: 83.3, 143.0. The number of aromatic groups: 1, 1. The number of heavy atoms: 10, 12.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 2, 3.0. The number of hydrogen bond acceptors: 2, 3.0. The number of hydrogen bond donors: 2, 0.0. The logP (octanol/water partition coefficient): -0.3, 0.3. The TPSA (topological polar surface area): 52.0, 51.2.",1,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1"
14,"Is the mixture between ditopic Nc1ccc(Oc2ccc(N)cc2)cc1 and tritopic O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1 turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 200.094963011, 393.11134135. The molecular complexities: 162.0, 483.0. The number of aromatic groups: 2, 4. The number of heavy atoms: 15, 30.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 2, 6.0. The number of hydrogen bond acceptors: 3, 6.0. The number of hydrogen bond donors: 2, 0.0. The logP (octanol/water partition coefficient): 1.4, 3.3. The TPSA (topological polar surface area): 61.3, 89.9.",0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0"
15,"Is the mixture between ditopic O=Cc1ccc2ccc3ccc(C=O)nc3c2n1 and tritopic NCCN(CCN)CCN turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 236.058577502, 146.153146591. The molecular complexities: 302.0, 52.5. The number of aromatic groups: 3, 0. The number of heavy atoms: 18, 10.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 2, 6.0. The number of hydrogen bond acceptors: 4, 4.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 2.0, -2.6. The TPSA (topological polar surface area): 59.9, 81.3.",0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0"
16,"Is the mixture between ditopic N[C@H]1CN(Cc2ccccc2)C[C@@H]1N and tritopic O=Cc1ccc(C#Cc2cc(C=O)cc(C=O)c2)cc1 turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 191.142247555, 262.062994177. The molecular complexities: 167.0, 404.0. The number of aromatic groups: 1, 2. The number of heavy atoms: 14, 20.0. The number of defined stereochemical bounds: 2, 0.0. The number of rotatable bounds: 2, 5.0. The number of hydrogen bond acceptors: 3, 3.0. The number of hydrogen bond donors: 2, 0.0. The logP (octanol/water partition coefficient): -0.2, 2.3. The TPSA (topological polar surface area): 55.3, 51.2.",1,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1"
17,"Is the mixture between ditopic Cn1nc2c(C=O)cccc2c1C=O and tritopic NCCCN(CCCN)CCCN turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 188.058577502, 188.20009678. The molecular complexities: 244.0, 78.6. The number of aromatic groups: 2, 0. The number of heavy atoms: 14, 13.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 2, 9.0. The number of hydrogen bond acceptors: 3, 4.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 0.8, -1.5. The TPSA (topological polar surface area): 52.0, 81.3.",0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0"
18,"Is the mixture between ditopic O=Cc1ccsc1C=O and tritopic CCc1c(CN)c(CC)c(CN)c(CC)c1CN turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 139.99320054, 249.220497874. The molecular complexities: 124.0, 176.0. The number of aromatic groups: 1, 1. The number of heavy atoms: 9, 18.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 2, 6.0. The number of hydrogen bond acceptors: 3, 3.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 0.9, 0.9. The TPSA (topological polar surface area): 62.4, 78.1.",0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0"
19,"Is the mixture between ditopic NCCCCCCNCCCCCCN and tritopic O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1 turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 215.236147938, 393.11134135. The molecular complexities: 95.0, 483.0. The number of aromatic groups: 0, 4. The number of heavy atoms: 15, 30.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 12, 6.0. The number of hydrogen bond acceptors: 3, 6.0. The number of hydrogen bond donors: 3, 0.0. The logP (octanol/water partition coefficient): 0.8, 3.3. The TPSA (topological polar surface area): 64.1, 89.9.",1,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1"
20,"Is the mixture between ditopic Nc1ccc(Oc2ccc(N)cc2)cc1 and tritopic O=Cc1ccc(-c2cc(-c3ccc(C=O)o3)cc(-c3ccc(C=O)o3)c2)o1 turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 200.094963011, 360.0633881. The molecular complexities: 162.0, 463.0. The number of aromatic groups: 2, 4. The number of heavy atoms: 15, 27.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 2, 6.0. The number of hydrogen bond acceptors: 3, 6.0. The number of hydrogen bond donors: 2, 0.0. The logP (octanol/water partition coefficient): 1.4, 3.5. The TPSA (topological polar surface area): 61.3, 90.6.",0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0"
21,"Is the mixture between ditopic Cn1nc2c(C=O)cccc2c1C=O and tritopic NCCN(CCN)CCN turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 188.058577502, 146.153146591. The molecular complexities: 244.0, 52.5. The number of aromatic groups: 2, 0. The number of heavy atoms: 14, 10.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 2, 6.0. The number of hydrogen bond acceptors: 3, 4.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 0.8, -2.6. The TPSA (topological polar surface area): 52.0, 81.3.",0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0"
